team_initials,team_city,year,head_coach,offensive_coordinator,defensive_coordinator
CHI,Chicago,2009,Lovie Smith,Ron Turner,Bob Babich
CHI,Chicago,2008,Lovie Smith,Ron Turner,Bob Babich
CHI,Chicago,2007,Lovie Smith,Ron Turner,Bob Babich
CHI,Chicago,2006,Lovie Smith,Ron Turner,Ron Rivera
CHI,Chicago,2005,Lovie Smith,Ron Turner,Ron Rivera
CHI,Chicago,2004,Lovie Smith,Terry Shea,Ron Rivera
CHI,Chicago,2003,Dick Jauron,John Shoop,Greg Blache
CHI,Chicago,2002,Dick Jauron,John Shoop,Greg Blache
CHI,Chicago,2001,Dick Jauron,John Shoop,Greg Blache
CHI,Chicago,2000,Dick Jauron,Gary Crowton,Greg Blache
CIN,Cincinnati,2014,Marvin Lewis,Hue Jackson,Paul Guenther
CIN,Cincinnati,2013,Marvin Lewis,Jay Gruden,Mike Zimmer
CIN,Cincinnati,2012,Marvin Lewis,Jay Gruden,Mike Zimmer
CIN,Cincinnati,2011,Marvin Lewis,Jay Gruden,Mike Zimmer
CIN,Cincinnati,2010,Marvin Lewis,Bob Bratkowski,Mike Zimmer
CIN,Cincinnati,2009,Marvin Lewis,Bob Bratkowski,Mike Zimmer
CIN,Cincinnati,2008,Marvin Lewis,Bob Bratkowski,Mike Zimmer
CIN,Cincinnati,2007,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan
CIN,Cincinnati,2006,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan
CIN,Cincinnati,2005,Marvin Lewis,Bob Bratkowski,Chuck Bresnahan
CIN,Cincinnati,2004,Marvin Lewis,Bob Bratkowski,Leslie Frazier
CIN,Cincinnati,2003,Marvin Lewis,Bob Bratkowski,Leslie Frazier
CIN,Cincinnati,2002,Dick LeBeau,Bob Bratkowski,Mark Duffner
CIN,Cincinnati,2001,Dick LeBeau,Bob Bratkowski,Mark Duffner
CIN,Cincinnati,2000,Bruce Coslet,Ken Anderson,Dick LeBeau
CLE,Cleveland,2014,Mike Pettine,Kyle Shanahan,Jim O'Neil
CLE,Cleveland,2013,Rob Chudzinski,Norv Turner,Ray Horton
CLE,Cleveland,2012,Pat Shurmur,Brad Childress,Dick Jauron
CLE,Cleveland,2011,Pat Shurmur,,Dick Jauron
CLE,Cleveland,2010,Eric Mangini,Brian Daboll,Rob Ryan
CLE,Cleveland,2009,Eric Mangini,Brian Daboll,Rob Ryan
CLE,Cleveland,2008,Romeo Crennel,Rob Chudzinski,Mel Tucker
CLE,Cleveland,2007,Romeo Crennel,Rob Chudzinski,Todd Grantham
CLE,Cleveland,2006,Romeo Crennel,Maurice Carthon,Todd Grantham
CLE,Cleveland,2006,Romeo Crennel,Jeff Davidson,Todd Grantham
CLE,Cleveland,2005,Romeo Crennel,Maurice Carthon,Todd Grantham
CLE,Cleveland,2004,Terry Robiskie,Rob Chudzinski,Dave Campo
CLE,Cleveland,2004,Butch Davis,Terry Robiskie,Dave Campo
CLE,Cleveland,2003,Butch Davis,Bruce Arians,Dave Campo
CLE,Cleveland,2002,Butch Davis,Bruce Arians,Foge Fazio
CLE,Cleveland,2001,Butch Davis,Bruce Arians,Foge Fazio
CLE,Cleveland,2000,Chris Palmer,Pete Carmichael,Romeo Crennel
DAL,Dallas,2014,Jason Garrett,Bill Callahan,Rod Marinelli
DAL,Dallas,2013,Jason Garrett,Bill Callahan,Monte Kiffin
DAL,Dallas,2012,Jason Garrett,Bill Callahan,Rob Ryan
DAL,Dallas,2011,Jason Garrett,,Rob Ryan
DAL,Dallas,2010,Wade Phillips,Jason Garrett,Paul Pasqualoni
DAL,Dallas,2009,Wade Phillips,Jason Garrett,
DAL,Dallas,2008,Wade Phillips,Jason Garrett,Brian Stewart
DAL,Dallas,2007,Wade Phillips,Jason Garrett,Brian Stewart
DAL,Dallas,2006,Bill Parcells,,Mike Zimmer
DAL,Dallas,2005,Bill Parcells,,Mike Zimmer
DAL,Dallas,2004,Bill Parcells,Maurice Carthon,Mike Zimmer
DAL,Dallas,2003,Bill Parcells,Maurice Carthon,Mike Zimmer
DAL,Dallas,2002,Dave Campo,Bruce Coslet,Mike Zimmer
DAL,Dallas,2001,Dave Campo,Jack Reilly,Mike Zimmer
DAL,Dallas,2000,Dave Campo,Jack Reilly,Mike Zimmer
DEN,Denver,2014,John Fox,Adam Gase,Jack Del Rio
DEN,Denver,2013,John Fox,Adam Gase,Jack Del Rio
DEN,Denver,2012,John Fox,Mike McCoy,Jack Del Rio
DEN,Denver,2011,John Fox,Mike McCoy,Dennis Allen
DEN,Denver,2010,Josh McDaniels,Mike McCoy,Don Martindale
DEN,Denver,2009,Josh McDaniels,Mike McCoy,Mike Nolan
DEN,Denver,2008,Mike Shanahan,Rick Dennison,Bob Slowik
DEN,Denver,2007,Mike Shanahan,Rick Dennison,Bob Slowik
DEN,Denver,2006,Mike Shanahan,Rick Dennison,Rick Dennison
DEN,Denver,2005,Mike Shanahan,Gary Kubiak,Larry Coyer
DEN,Denver,2004,Mike Shanahan,Gary Kubiak,Larry Coyer
DEN,Denver,2003,Mike Shanahan,Gary Kubiak,Larry Coyer
DEN,Denver,2002,Mike Shanahan,Gary Kubiak,Ray Rhodes
DEN,Denver,2001,Mike Shanahan,Gary Kubiak,Ray Rhodes
DEN,Denver,2000,Mike Shanahan,Gary Kubiak,Greg Robinson
DET,Detroit,2014,Jim Caldwell,Joe Lombardi,Teryl Austin
DET,Detroit,2013,Jim Schwartz,Scott Linehan,Gunther Cunningham
DET,Detroit,2012,Jim Schwartz,Scott Linehan,Gunther Cunningham
DET,Detroit,2011,Jim Schwartz,Scott Linehan,Gunther Cunningham
DET,Detroit,2010,Jim Schwartz,Scott Linehan,Gunther Cunningham
DET,Detroit,2009,Jim Schwartz,Scott Linehan,Gunther Cunningham
DET,Detroit,2008,Rod Marinelli,Jim Colletto,Joe Barry
DET,Detroit,2007,Rod Marinelli,Mike Martz,Joe Barry
DET,Detroit,2006,Rod Marinelli,Mike Martz,Donnie Henderson
DET,Detroit,2005,Dick Jauron,Greg Olson,
DET,Detroit,2005,Steve Mariucci,Ted Tollner,Dick Jauron
DET,Detroit,2004,Steve Mariucci,Sherman Lewis,Dick Jauron
DET,Detroit,2003,Steve Mariucci,Sherman Lewis,Kurt Schottenheimer
DET,Detroit,2002,Marty Mornhinweg,Maurice Carthon,Kurt Schottenheimer
DET,Detroit,2001,Marty Mornhinweg,Maurice Carthon,Vince Tobin
DET,Detroit,2000,Gary Moeller,Sylvester Croom,Larry Peccatiello
DET,Detroit,2000,Bobby Ross,Sylvester Croom,Larry Peccatiello
GB,Green Bay,2014,Mike McCarthy,Tom Clements,Dom Capers
GB,Green Bay,2013,Mike McCarthy,Tom Clements,Dom Capers
GB,Green Bay,2012,Mike McCarthy,Tom Clements,Dom Capers
GB,Green Bay,2011,Mike McCarthy,Joe Philbin,Dom Capers
GB,Green Bay,2010,Mike McCarthy,Joe Philbin,Dom Capers
GB,Green Bay,2009,Mike McCarthy,Joe Philbin,Dom Capers
GB,Green Bay,2008,Mike McCarthy,Joe Philbin,Bob Sanders
GB,Green Bay,2007,Mike McCarthy,Joe Philbin,Bob Sanders
GB,Green Bay,2006,Mike McCarthy,Jeff Jagodzinski,Bob Sanders
GB,Green Bay,2005,Mike Sherman,Tom Rossley,Jim Bates
GB,Green Bay,2004,Mike Sherman,Tom Rossley,Bob Slowik
GB,Green Bay,2003,Mike Sherman,Tom Rossley,Ed Donatell
GB,Green Bay,2002,Mike Sherman,Tom Rossley,Ed Donatell
GB,Green Bay,2001,Mike Sherman,Tom Rossley,Ed Donatell
GB,Green Bay,2000,Mike Sherman,Tom Rossley,Ed Donatell
HOU,Houston,2014,Bill O'Brien,,Romeo Crennel
HOU,Houston,2013,Wade Phillips,Rick Dennison,
HOU,Houston,2013,Gary Kubiak,Rick Dennison,Wade Phillips
HOU,Houston,2012,Gary Kubiak,Rick Dennison,Wade Phillips
HOU,Houston,2011,Gary Kubiak,Rick Dennison,Wade Phillips
HOU,Houston,2010,Gary Kubiak,Rick Dennison,Frank Bush
HOU,Houston,2009,Gary Kubiak,Kyle Shanahan,Frank Bush
HOU,Houston,2008,Gary Kubiak,Kyle Shanahan,Richard Smith
HOU,Houston,2007,Gary Kubiak,Mike Sherman,Richard Smith
HOU,Houston,2006,Gary Kubiak,Troy Calhoun,Richard Smith
HOU,Houston,2005,Dom Capers,Chris Palmer,Vic Fangio
HOU,Houston,2005,Dom Capers,Joe Pendry,Vic Fangio
HOU,Houston,2004,Dom Capers,Chris Palmer,Vic Fangio
HOU,Houston,2003,Dom Capers,Chris Palmer,Vic Fangio
HOU,Houston,2002,Dom Capers,Chris Palmer,Vic Fangio
IND,Indianapolis,2014,Chuck Pagano,Pep Hamilton,Greg Manusky
IND,Indianapolis,2013,Chuck Pagano,Pep Hamilton,Greg Manusky
IND,Indianapolis,2012,Chuck Pagano,Bruce Arians,Greg Manusky
IND,Indianapolis,2011,Jim Caldwell,Clyde Christensen,Larry Coyer
IND,Indianapolis,2010,Jim Caldwell,Clyde Christensen,Larry Coyer
IND,Indianapolis,2009,Jim Caldwell,Tom Moore,Larry Coyer
IND,Indianapolis,2008,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2007,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2006,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2005,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2004,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2003,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2002,Tony Dungy,Tom Moore,Ron Meeks
IND,Indianapolis,2001,Jim Mora,Tom Moore,Vic Fangio
IND,Indianapolis,2000,Jim Mora,Tom Moore,Vic Fangio
JAX,Jacksonville,2014,Gus Bradley,Jedd Fisch,Bob Babich
JAX,Jacksonville,2013,Gus Bradley,Jedd Fisch,Bob Babich
JAX,Jacksonville,2012,Mike Mularkey,Bob Bratkowski,Mel Tucker
JAX,Jacksonville,2011,Mel Tucker,Dirk Koetter,Mel Tucker
JAX,Jacksonville,2011,Jack Del Rio,Dirk Koetter,Mel Tucker
JAX,Jacksonville,2010,Jack Del Rio,Dirk Koetter,Mel Tucker
JAX,Jacksonville,2009,Jack Del Rio,Dirk Koetter,Mel Tucker
JAX,Jacksonville,2008,Jack Del Rio,Dirk Koetter,Gregg Williams
JAX,Jacksonville,2007,Jack Del Rio,Dirk Koetter,Mike Smith
JAX,Jacksonville,2006,Jack Del Rio,Carl Smith,Mike Smith
JAX,Jacksonville,2005,Jack Del Rio,Carl Smith,Mike Smith
JAX,Jacksonville,2004,Jack Del Rio,Bill Musgrave,Mike Smith
JAX,Jacksonville,2003,Jack Del Rio,Bill Musgrave,Mike Smith
JAX,Jacksonville,2002,Tom Coughlin,,John Pease
JAX,Jacksonville,2001,Tom Coughlin,Bobby Petrino,Gary Moeller
JAX,Jacksonville,2000,Tom Coughlin,,Dom Capers
KC,Kansas City,2014,Andy Reid,Doug Pederson,Bob Sutton
KC,Kansas City,2013,Andy Reid,Doug Pederson,Bob Sutton
KC,Kansas City,2012,Romeo Crennel,Brian Daboll,
KC,Kansas City,2011,Romeo Crennel,Bill Muir,
KC,Kansas City,2010,Todd Haley,Charlie Weis,Romeo Crennel
KC,Kansas City,2009,Todd Haley,,Clancy Pendergast
KC,Kansas City,2008,Herman Edwards,Chan Gailey,Gunther Cunningham
KC,Kansas City,2007,Herman Edwards,Mike Solari,Gunther Cunningham
KC,Kansas City,2006,Herman Edwards,Mike Solari,Gunther Cunningham
KC,Kansas City,2005,Dick Vermeil,Al Saunders,Gunther Cunningham
KC,Kansas City,2004,Dick Vermeil,Al Saunders,Gunther Cunningham
KC,Kansas City,2003,Dick Vermeil,Al Saunders,Greg Robinson
KC,Kansas City,2002,Dick Vermeil,Al Saunders,Greg Robinson
KC,Kansas City,2001,Dick Vermeil,Al Saunders,Greg Robinson
KC,Kansas City,2000,Gunther Cunningham,Jimmy Raye,Kurt Schottenheimer
MIA,Miami,2014,Joe Philbin,Bill Lazor,Kevin Coyle
MIA,Miami,2013,Joe Philbin,Mike Sherman,Kevin Coyle
MIA,Miami,2012,Joe Philbin,Mike Sherman,Kevin Coyle
MIA,Miami,2011,Todd Bowles,Brian Daboll,Mike Nolan
MIA,Miami,2011,Tony Sparano,Brian Daboll,Mike Nolan
MIA,Miami,2010,Tony Sparano,Dan Henning,Mike Nolan
MIA,Miami,2009,Tony Sparano,Dan Henning,Paul Pasqualoni
MIA,Miami,2008,Tony Sparano,Dan Henning,Paul Pasqualoni
MIA,Miami,2007,Cam Cameron,,Dom Capers
MIA,Miami,2006,Nick Saban,Mike Mularkey,Dom Capers
MIA,Miami,2005,Nick Saban,Scott Linehan,Richard Smith
MIA,Miami,2004,Dave Wannstedt,Chris Foerster,Jim Bates
MIA,Miami,2004,Jim Bates,Chris Foerster,
MIA,Miami,2003,Dave Wannstedt,Norv Turner,Jim Bates
MIA,Miami,2002,Dave Wannstedt,Norv Turner,Jim Bates
MIA,Miami,2001,Dave Wannstedt,Chan Gailey,Jim Bates
MIA,Miami,2000,Dave Wannstedt,Chan Gailey,Jim Bates
MIN,Minnesota,2014,Mike Zimmer,Norv Turner,George Edwards
MIN,Minnesota,2013,Leslie Frazier,Bill Musgrave,Alan Williams
MIN,Minnesota,2012,Leslie Frazier,Bill Musgrave,Alan Williams
MIN,Minnesota,2011,Leslie Frazier,Bill Musgrave,Fred Pagac
MIN,Minnesota,2010,Brad Childress,Darrell Bevell,Leslie Frazier
MIN,Minnesota,2010,Leslie Frazier,Darrell Bevell,Fred Pagac
MIN,Minnesota,2009,Brad Childress,Darrell Bevell,Leslie Frazier
MIN,Minnesota,2008,Brad Childress,Darrell Bevell,Leslie Frazier
MIN,Minnesota,2007,Brad Childress,Darrell Bevell,Leslie Frazier
MIN,Minnesota,2006,Brad Childress,Darrell Bevell,Mike Tomlin
MIN,Minnesota,2005,Mike Tice,Steve Loney,Ted Cottrell
MIN,Minnesota,2004,Mike Tice,Scott Linehan,Ted Cottrell
MIN,Minnesota,2003,Mike Tice,Scott Linehan,George O'Leary
MIN,Minnesota,2002,Mike Tice,Scott Linehan,Willie Shaw
MIN,Minnesota,2001,Mike Tice,Sherman Lewis,Emmitt Thomas
MIN,Minnesota,2001,Dennis Green,Sherman Lewis,Emmitt Thomas
MIN,Minnesota,2000,Dennis Green,Sherman Lewis,Emmitt Thomas
NE,New England,2014,Bill Belichick,Josh McDaniels,Matt Patricia
NE,New England,2013,Bill Belichick,Josh McDaniels,Matt Patricia
NE,New England,2012,Bill Belichick,Josh McDaniels,Matt Patricia
NE,New England,2011,Bill Belichick,Bill O'Brien,Matt Patricia
NE,New England,2010,Bill Belichick,,
NE,New England,2009,Bill Belichick,,Dean Pees
NE,New England,2008,Bill Belichick,Josh McDaniels,Dean Pees
NE,New England,2007,Bill Belichick,Josh McDaniels,Dean Pees
NE,New England,2006,Bill Belichick,Josh McDaniels,Dean Pees
NE,New England,2005,Bill Belichick,,Eric Mangini
NE,New England,2004,Bill Belichick,Charlie Weis,Romeo Crennel
NE,New England,2003,Bill Belichick,Charlie Weis,Romeo Crennel
NE,New England,2002,Bill Belichick,Charlie Weis,Romeo Crennel
NE,New England,2001,Bill Belichick,Charlie Weis,Romeo Crennel
NE,New England,2000,Bill Belichick,Charlie Weis,
NO,New Orleans,2014,Sean Payton,Pete Carmichael,Rob Ryan
NO,New Orleans,2013,Sean Payton,Pete Carmichael,Rob Ryan
NO,New Orleans,2012,Aaron Kromer,Pete Carmichael,Rob Ryan
NO,New Orleans,2012,Joe Vitt,Pete Carmichael,Rob Ryan
NO,New Orleans,2011,Sean Payton,Pete Carmichael,Gregg Williams
NO,New Orleans,2010,Sean Payton,Pete Carmichael,Gregg Williams
NO,New Orleans,2009,Sean Payton,Pete Carmichael,Gregg Williams
NO,New Orleans,2008,Sean Payton,Doug Marrone,Gary Gibbs
NO,New Orleans,2007,Sean Payton,Doug Marrone,Gary Gibbs
NO,New Orleans,2006,Sean Payton,Doug Marrone,Gary Gibbs
NO,New Orleans,2005,Jim Haslett,Mike Sheppard,Rick Venturi
NO,New Orleans,2004,Jim Haslett,Mike McCarthy,Rick Venturi
NO,New Orleans,2003,Jim Haslett,Mike McCarthy,Rick Venturi
NO,New Orleans,2002,Jim Haslett,Mike McCarthy,Rick Venturi
NO,New Orleans,2001,Jim Haslett,Mike McCarthy,Ron Zook
NO,New Orleans,2000,Jim Haslett,Mike McCarthy,Ron Zook
NYG,NY Giants,2014,Tom Coughlin,Ben McAdoo,Perry Fewell
NYG,NY Giants,2013,Tom Coughlin,Kevin Gilbride,Perry Fewell
NYG,NY Giants,2012,Tom Coughlin,Kevin Gilbride,Perry Fewell
NYG,NY Giants,2011,Tom Coughlin,Kevin Gilbride,Perry Fewell
NYG,NY Giants,2010,Tom Coughlin,Kevin Gilbride,Perry Fewell
NYG,NY Giants,2009,Tom Coughlin,Kevin Gilbride,Bill Sheridan
NYG,NY Giants,2008,Tom Coughlin,Kevin Gilbride,Steve Spagnuolo
NYG,NY Giants,2007,Tom Coughlin,Kevin Gilbride,Steve Spagnuolo
NYG,NY Giants,2006,Tom Coughlin,John Hufnagel,Tim Lewis
NYG,NY Giants,2005,Tom Coughlin,John Hufnagel,Tim Lewis
NYG,NY Giants,2004,Tom Coughlin,John Hufnagel,Tim Lewis
NYG,NY Giants,2003,Jim Fassel,,Johnny Lynn
NYG,NY Giants,2002,Jim Fassel,Sean Payton,Johnny Lynn
NYG,NY Giants,2001,Jim Fassel,Sean Payton,John Fox
NYG,NY Giants,2000,Jim Fassel,Sean Payton,John Fox
NYJ,NY Jets,2014,Rex Ryan,Marty Mornhinweg,Dennis Thurman
NYJ,NY Jets,2013,Rex Ryan,Marty Mornhinweg,Dennis Thurman
NYJ,NY Jets,2012,Rex Ryan,Tony Sparano,Mike Pettine
NYJ,NY Jets,2011,Rex Ryan,Brian Schottenheimer,Mike Pettine
NYJ,NY Jets,2010,Rex Ryan,Brian Schottenheimer,Mike Pettine
NYJ,NY Jets,2009,Rex Ryan,Brian Schottenheimer,Mike Pettine
NYJ,NY Jets,2008,Eric Mangini,Brian Schottenheimer,Bob Sutton
NYJ,NY Jets,2007,Eric Mangini,Brian Schottenheimer,Bob Sutton
NYJ,NY Jets,2006,Eric Mangini,Brian Schottenheimer,Bob Sutton
NYJ,NY Jets,2005,Herman Edwards,Mike Heimerdinger,Donnie Henderson
NYJ,NY Jets,2004,Herman Edwards,Paul Hackett,Donnie Henderson
NYJ,NY Jets,2003,Herman Edwards,Paul Hackett,Ted Cottrell
NYJ,NY Jets,2002,Herman Edwards,Paul Hackett,Ted Cottrell
NYJ,NY Jets,2001,Herman Edwards,Paul Hackett,Ted Cottrell
NYJ,NY Jets,2000,Al Groh,Dan Henning,Mike Nolan
OAK,Oakland,2014,Dennis Allen,Greg Olson,Jason Tarver
OAK,Oakland,2014,Tony Sparano,Greg Olson,Jason Tarver
OAK,Oakland,2013,Dennis Allen,Greg Olson,Jason Tarver
OAK,Oakland,2012,Dennis Allen,Greg Knapp,Jason Tarver
OAK,Oakland,2011,Hue Jackson,Al Saunders,Chuck Bresnahan
OAK,Oakland,2010,Tom Cable,Hue Jackson,John Marshall
OAK,Oakland,2009,Tom Cable,,John Marshall
OAK,Oakland,2008,Tom Cable,Greg Knapp,Rob Ryan
OAK,Oakland,2008,Lane Kiffin,Greg Knapp,Rob Ryan
OAK,Oakland,2007,Lane Kiffin,Greg Knapp,Rob Ryan
OAK,Oakland,2006,Art Shell,John Shoop,Rob Ryan
OAK,Oakland,2006,Art Shell,Tom Walsh,Rob Ryan
OAK,Oakland,2005,Norv Turner,Jimmy Raye,Rob Ryan
OAK,Oakland,2004,Norv Turner,Jimmy Raye,Rob Ryan
OAK,Oakland,2003,Bill Callahan,Marc Trestman,Chuck Bresnahan
OAK,Oakland,2002,Bill Callahan,Marc Trestman,Chuck Bresnahan
OAK,Oakland,2001,Jon Gruden,Bill Callahan,Chuck Bresnahan
OAK,Oakland,2000,Jon Gruden,Bill Callahan,Chuck Bresnahan
PHI,Philadelphia,2014,Chip Kelly,Pat Shurmur,Bill Davis
PHI,Philadelphia,2013,Chip Kelly,Pat Shurmur,Bill Davis
PHI,Philadelphia,2012,Andy Reid,Marty Mornhinweg,Todd Bowles
PHI,Philadelphia,2012,Andy Reid,Marty Mornhinweg,Juan Castillo
PHI,Philadelphia,2011,Andy Reid,Marty Mornhinweg,Juan Castillo
PHI,Philadelphia,2010,Andy Reid,Marty Mornhinweg,Sean McDermott
PHI,Philadelphia,2009,Andy Reid,Marty Mornhinweg,Sean McDermott
PHI,Philadelphia,2008,Andy Reid,Marty Mornhinweg,Jim Johnson
PHI,Philadelphia,2007,Andy Reid,Marty Mornhinweg,Jim Johnson
PHI,Philadelphia,2006,Andy Reid,Marty Mornhinweg,Jim Johnson
PHI,Philadelphia,2005,Andy Reid,Brad Childress,Jim Johnson
PHI,Philadelphia,2004,Andy Reid,Brad Childress,Jim Johnson
PHI,Philadelphia,2003,Andy Reid,Brad Childress,Jim Johnson
PHI,Philadelphia,2002,Andy Reid,Brad Childress,Jim Johnson
PHI,Philadelphia,2001,Andy Reid,Rod Dowhower,Jim Johnson
PHI,Philadelphia,2000,Andy Reid,Rod Dowhower,Jim Johnson
